Name,Rating,Review,ZeroShotSentiment
No Name,4.0,one of the best action films ever created.,positive
No Name,5.0,one of the best action movies ever made. pack with action and you will be  sad watching it. i do not care who you are you need to see this.,negative
No Name,5.0,amazing in theatre's. underwhelming at home unless you've seen it on a big screen with surround sound first.,positive
No Name,5.0,lmkiytfgjgsxfhnjhddgf,negative
No Name,1.0,cowboys and indians in the great australian outback.. there is no plot.. just one l-o-n-g chase with lots of dead and dying  that ultimately circled 'round itself...,negative
No Name,5.0,you must take this ride!,positive
No Name,5.0,"great movie, but should've been a different supporting character - not mad max..",negative
No Name,0.5,"utter garbage. terrible story, terrible acting, ridiculous special effects.",negative
No Name,5.0,simply incredible. two hours of suspension of disbelief and immersive dystopian entertainment. what more can you say: mad max to the max.,positive
No Name,5.0,this movie literally made me tired sitting through it. in the best sort of way. i felt exhausted like i was along for the ride. it’s a great action movie and is pretty much go-go-go from the beginning with little time wasted on exhibition.,positive
No Name,4.0,"crazy, entertaining and fun, but overly voilent. provided you don't take this movie too seriously - it's thoroughly enjoyable. tip: if you haven't seen this - watch furiosa first (even though it's a more recent release) - as this movie seamlessly flows on after furiosa and it's well worth watching them back to back.",negative
No Name,5.0,esse é o melhor filme de ação de todos os tempos,positive
No Name,3.5,"with astonishing moments and great, yet sometimes awkward visuals, it’s hard to decide what i thought of this movie and really, the entire franchise as a whole. the action was more than serviceable and lived up to its reputation, and the story was a step above the likes of thunderdome for sure. as for the actors, they were all tremendous in their roles and the acting was far beyond the first three movies with tom hardy taking control of the lead role and charlize theron joining the fray. as a new addition to the franchise that is mad max, it is refreshing and nice to see, but as for the franchise itself, i don’t believe i am too fond of its style.",positive
B,5.0,a perfect action film. no notes.,positive
No Name,5.0,this movie was pure adrenaline from start to finish.. loved it!,positive
No Name,4.0,"probably one of the best action movies ever. i'd recommend it, especially if you're really into this kind of genre.",positive
No Name,5.0,excellent and captivating cinematography. top tier action and story accompanied with excellent pacing. an immersive adventure off originality. exceeds the original films in everyway.,positive
No Name,4.0,this movie is so good. highly entertaining and the performances are awesome. my guy tom hardy kills it!,positive
No Name,5.0,it couldn't be more peak than this.absolute cinema!,positive
No Name,1.0,just saw the space ice version and you gotta be forkin' kiddin' me.,negative
No Name,5.0,"absolutely exhilarating, and endlessly entertaining. george miller's masterpiece of death and destruction will stand strong for years to come thanks to awesome characters and amazing practical effects that most of hollywood has forgotten about by now.",positive
No Name,4.0,"filme foda, o roteiro é legal, o vilão é bacana, mas o que torna o filme melhor são as cenas de ação que são muito excelentes, que passam em um deserto de areia gostei do tom hardy como mad max, gostei da participação da cherlize theron como furiosa, gostei de uma cena em que o maluco estava segurandobuma guitarra enquanto saia fogo pelos canos pelo caminhão, as cenas de dialogo algumas foram boas e outras não, mas com tudo isso, eu recomendo muito esse filme, esse foi o melhor da franquia mad max.",positive
No Name,4.5,direção: bom atuação: bom roteiro: ok caracterização: bom soundtrack: bom,positive
No Name,5.0,"as good as any movie i have ever seen, amazing.",positive
No Name,3.0,"not special story in whole, similar endings have been seen many (in different locations depending the script). beginning is interesting and endures as such quite well but not till end. on my opinion.",negative
No Name,5.0,"i loved it. george miller turned the desert into an absolute battleground with high-stakes action sequences and some genuinely likable characters: furiosa is a powerful warrior who wants to redeem herself for serving immortan joe, the movie's amazing villain; nux is insecure about his impending death and wants to go out in a literal blaze of glory; and the titular max is as cool as ever, learns to open up to others, and the speech he gives when all seems lost was just perfect.  it hurts to know this masterpiece was a nightmare to make and how badly it financially underperformed. i honestly think the movie warranted a pg-13 rating; the goriest part was probably the villain's death, it was totally bearable for a modern teenage audience. but hey, the fact that a sequel was even greenlit sparks a little hope. mad max lived, it died, and lived again. fury road will ride eternal, shiny and chrome.",positive
No Name,5.0,my favourite movie of the past decade.  larger than life and twice as fun.,positive
No Name,5.0,la mejor película de la década.,positive
No Name,5.0,the post apocalyptic film of our age. nuf zed.,negative
No Name,4.5,"the perfect adventure film.  thrilling and original - that's how you can describe this film in two words. george miller's style may not be everyone's cup of tea,and some may not understand it, but this is true cinema. with minimal dialogue and a huge amount of action, the film still manages to remain genuinely deep.",positive
No Name,4.0,this is a great film that i had to rewatch after seeing furiosa because the first time i watch it i was lost about what this was about; furiosa was such a great introduction of the franchise to new viewers that this is perfect sequel to it. i loved it more and appreciated after furiosa so stellar job perfect action film to enjoy; hopefully they make a third one to end this saga of soft reboot.,positive
No Name,5.0,"i don’t think i’ve ever seen this much intense action in one movie. just wow. i wish gibson could have played the title guy, but hardy does it great. and miller somehow creates this insane future world that is believable, scary, and fascinating. sci-fi does not get any better.",positive
No Name,0.5,i really don't understand how this movie is rated so high. i was hoping that it wouldn't be any worse than thunderdome. it's like mad max meets the rocky horror pic show. i've never not finished watching a movie and am highly disappointed that i sat thru the entirety of fury road. never will watch it a second time.,negative
