Name,Rating,Review
No Name,5,"Fantastic movie, one of the great epics"
No Name,2,It’s not aged well. The action scenes are quite cringeworthy and the plot is advanced by characters who just tell you what their motives are.
Paul T,5,Best movie of all time
Chris,5,Amazing. Please bring more older movies back to the theater.
No Name,5,This first movie of the trilogy is an absolute masterpiece. Love it!
No Name,2.5,"It's a very enjoyable average movie. The cinematography, effects, message, villain,  and action are  all masterpieces. However that is not enough to make it a masterpiece of a movie. The characters, aside from the main agent(who is flawless I might add), were poorly written, very poorly  written. This movie's biggest problem: telling the audience something is different from explaining it to them. You can tell me the Neo is the chosen one, you can tell me that Morpheus views him as the chosen one, but you have to explain why. This movie saying ""well, it;s because Morpheus views him as one"" is not an explanation, because this movie established Morpheus's credibility. The romance was mediocre at best, at least you could tell it was going to happen unlike other movies that just shove it out of left it. I suppose that's something in this movie's favor, but it still doesn't elevate the romance out of nowhere. Addiotnally, this movie has what I like to call the ""pointless side characters problem"", when there's too many characters, poorly written, that just endlessly remove screen time from the main characters, leading to every single character(well almost in this case), being underdeveloped. I didn't even understand why Neo wanted to find the Matrix, this movie never once answered that question. It's also incomprehensible how he got so good at the Matrix. This is a critique one has to be careful of, because it could easily be thrown at every single sci-fi movie. Often times I think it's thrown around unjustifiably, but this movie is not one of those times. There is no logical reason why Neo should be able to beat the agent. BECAUSE THIS MOVIE NEVER EXPLAINED WHY HE WAS LOOKING FOR THE MATRIX, AND WHY HE WAS THE CHOSEN ONE! In Star Wars, Luke destroying the Death Star is justifiable, because the movie explained why he had the power of the force, and Obi-Wan helped him through the power of the force. You don't need some elaborate, 20 minute exposition, something as simple as what Star Wars did was enough. Another thing I will point out, the acting, ranges from bad to mediocre. I think Reeves was miscast in this role, which might be the biggest hot take in this review(which is a hot take in it of itself). His gives just a dry performance, which is not always a bad thing (works for Jon Wick), but it does not work for this movie. There is never an ounce of emotion shown in his face, and that really lower the quality of the movie. That pretty much goes for every character in this movie. Except for the Agent Smith. Hugo Weaving  gives a superb performance. It's exactly how a character like that is supposed to act. And his motivations were EXPLAINED. He wants to be free of the world he operates in, and by getting to Zion, he will achieve that. PERFECT! That was a 3 minute scene at most, maybe even a minute and a half. THAT'S ALL YOU NEED. I'm not even going to lie, I found myself rooting for him during the climax. This movie gave its villain(well maybe sub villain, since technically The Matrix is the villain), a motivation with an explanation, but not's main character.  HOW SAD IS THAT. Overall, it's just an average movie. If it wasn't for the villain, this movie would be a bad movie with great action, special effects, and great cinematography. Those things alone are not enough to make a movie good. Yes, without them a movie will be lowered in quality. But having a main character, whose motivations, and greatness are unexplained, poorly written side characters, a bland romance, and making your villain more lovable(EVEN THE MOTIVATIONS OF WHO HE WORKS FOR ARE EVIL) than your main character are flaws to great to make this movie anything more than mediocre."
No Name,3.5,"Whilst the visual effects used in this film hold up excellently to this day, it is let down by inconsistencies within its plot or premise and a massive lack of variation in the pacing of its fight scenes. Yet, it is home to some of the best scenes in movie history, and the concept which it attempts to explore is revolutionary for film-making. I admire that about it."
No Name,5,"It is a genius action film with an engaging and exciting plot. It is thrilling, well filmed, has great dialogue and Keanu Reeves best acting performance by far. Definitely one of the greatest examples of American action films."
No Name,0.5,Very silly storyline that lacked all credibility and all real human interest. Not for me thank you.
No Name,5,Legendary and ahead of it’s time!
